ProbeName	6302A	6302B	6302C	6302D
105351-105632	2.83E+05	2.53E+05	3.11E+05	2.87E+05
105351-105632	2.87E+05	2.51E+05	2.88E+05	2.81E+05
1056435-1058015	1.02E+04	7.34E+03	1.19E+04	1.09E+04
1056435-1058015	1.22E+04	7.83E+03	1.31E+04	1.14E+04
1056435-1058015	1.33E+04	8.46E+03	1.34E+04	1.13E+04
1056435-1058015	1.36E+04	9.16E+03	1.39E+04	1.13E+04
105664-105999	2.29E+05	2.23E+05	2.26E+05	2.00E+05
105664-105999	1.79E+05	2.22E+05	2.25E+05	2.11E+05
105664-105999	1.99E+05	2.26E+05	2.24E+05	2.17E+05
105664-105999	2.17E+05	2.26E+05	2.26E+05	2.13E+05
1058187-1058633	1.15E+04	1.06E+04	1.09E+04	1.11E+04
1058187-1058633	1.10E+04	8.79E+03	1.17E+04	1.12E+04
1058187-1058633	9.82E+03	9.64E+03	1.24E+04	1.09E+04
1058187-1058633	1.01E+04	9.35E+03	1.18E+04	1.11E+04
1058654-1059697	3.05E+04	2.11E+04	2.95E+04	2.66E+04
1058654-1059697	3.46E+04	2.18E+04	3.02E+04	2.67E+04
1058654-1059697	2.88E+04	2.21E+04	2.77E+04	2.60E+04
1058654-1059697	3.40E+04	2.37E+04	2.96E+04	2.48E+04
106022-106837	2.39E+05	2.40E+05	3.11E+05	2.83E+05
106022-106837	2.70E+05	2.59E+05	3.27E+05	2.76E+05
106022-106837	2.82E+05	2.30E+05	2.99E+05	2.73E+05
106022-106837	2.81E+05	2.38E+05	3.12E+05	2.85E+05
1060468-1061628	9.70E+02	1.60E+03	1.96E+03	1.34E+03
1060468-1061628	1.34E+03	1.36E+03	1.84E+03	1.32E+03
1060468-1061628	1.15E+03	1.44E+03	1.79E+03	1.45E+03
1060468-1061628	1.60E+03	1.45E+03	1.58E+03	1.56E+03
1061630-1062760	1.69E+03	2.08E+03	2.38E+03	2.09E+03
1061630-1062760	2.00E+03	1.91E+03	2.08E+03	2.51E+03
1061630-1062760	1.85E+03	1.94E+03	2.18E+03	2.24E+03
1061630-1062760	1.43E+03	1.82E+03	2.28E+03	2.41E+03
1062789-1064231	3.87E+03	2.96E+03	7.39E+03	6.11E+03
1062789-1064231	4.29E+03	3.64E+03	7.31E+03	6.31E+03
1062789-1064231	5.28E+03	3.83E+03	7.55E+03	7.33E+03
1062789-1064231	4.78E+03	4.42E+03	7.43E+03	6.44E+03
1064224-1066665	4.36E+03	4.23E+03	5.61E+03	4.93E+03
1064224-1066665	5.51E+03	4.80E+03	6.06E+03	5.44E+03
1064224-1066665	4.79E+03	4.16E+03	6.10E+03	5.05E+03
1064224-1066665	4.86E+03	4.14E+03	5.94E+03	4.43E+03
1066670-1068535	8.66E+03	6.30E+03	9.51E+03	9.16E+03
1066670-1068535	8.35E+03	6.42E+03	1.03E+04	9.39E+03
1066670-1068535	6.75E+03	6.19E+03	1.06E+04	9.67E+03
1066670-1068535	8.52E+03	6.67E+03	1.09E+04	9.42E+03
106873-107304	3.49E+05	2.74E+05	3.70E+05	3.40E+05
106873-107304	2.99E+05	2.62E+05	3.61E+05	3.32E+05
106873-107304	2.89E+05	2.66E+05	3.52E+05	3.27E+05
106873-107304	3.28E+05	2.89E+05	3.55E+05	3.39E+05
1068780-1069433	6.70E+03	6.43E+03	5.84E+03	6.51E+03
1068780-1069433	6.59E+03	6.51E+03	6.27E+03	6.03E+03
1068780-1069433	7.14E+03	6.13E+03	6.29E+03	6.40E+03
1068780-1069433	6.93E+03	6.45E+03	6.62E+03	6.09E+03
1070071-1071546	3.91E+03	4.89E+03	2.80E+03	3.03E+03
1070071-1071546	3.76E+03	4.59E+03	2.94E+03	3.34E+03
1070071-1071546	3.96E+03	4.60E+03	3.45E+03	3.10E+03
1070071-1071546	3.97E+03	4.32E+03	2.87E+03	2.88E+03
1071633-1072046	1.74E+04	1.26E+04	1.63E+04	1.57E+04
1071633-1072046	1.68E+04	1.23E+04	1.56E+04	1.53E+04
1071633-1072046	1.52E+04	1.17E+04	1.37E+04	1.43E+04
1071633-1072046	1.62E+04	1.24E+04	1.60E+04	1.61E+04
1072076-1072927	4.28E+03	6.16E+03	3.83E+03	4.40E+03
1072076-1072927	4.10E+03	6.05E+03	3.93E+03	4.06E+03
1072076-1072927	3.73E+03	6.45E+03	4.01E+03	4.24E+03
1072076-1072927	4.07E+03	5.25E+03	4.28E+03	4.10E+03
1072917-1073795	7.74E+03	7.06E+03	7.14E+03	7.02E+03
1072917-1073795	7.93E+03	7.05E+03	6.84E+03	7.68E+03
