ProbeName	6308A	6308B	6308C
c2315284-2314631	1.65E+04	1.60E+04	2.64E+04
c2315284-2314631	2.36E+04	2.05E+04	3.11E+04
c2315284-2314631	2.59E+04	2.26E+04	2.94E+04
c2315816-2315421	1.82E+04	1.43E+04	2.47E+04
c2315816-2315421	2.11E+04	1.60E+04	2.59E+04
c2315816-2315421	1.88E+04	1.35E+04	2.27E+04
c2315816-2315421	1.86E+04	1.49E+04	2.52E+04
c2315816-2315421	1.77E+04	1.46E+04	2.55E+04
c2316417-2316304	2.86E+04	2.64E+04	2.50E+04
c2316417-2316304	2.78E+04	2.71E+04	2.40E+04
c2316417-2316304	2.82E+04	2.38E+04	2.32E+04
c2316417-2316304	2.76E+04	2.44E+04	2.19E+04
c2316417-2316304	3.19E+04	2.65E+04	2.36E+04
c2316794-2316537	3.44E+04	3.37E+04	4.52E+04
c2316794-2316537	3.41E+04	3.71E+04	4.67E+04
c2316794-2316537	3.44E+04	3.50E+04	4.42E+04
c2316794-2316537	3.58E+04	3.41E+04	4.45E+04
c2316794-2316537	3.43E+04	3.22E+04	4.22E+04
c2317846-2317709	5.11E+04	4.32E+04	4.66E+04
c2317846-2317709	5.11E+04	4.20E+04	4.59E+04
c2317846-2317709	5.05E+04	4.57E+04	4.66E+04
c2317846-2317709	4.88E+04	4.20E+04	4.62E+04
c2317846-2317709	5.12E+04	4.37E+04	4.56E+04
c2318841-2317945	3.60E+04	3.19E+04	3.05E+04
c2318841-2317945	3.31E+04	2.55E+04	3.02E+04
c2318841-2317945	4.09E+04	2.98E+04	3.05E+04
c2318841-2317945	3.97E+04	3.18E+04	3.06E+04
c2318841-2317945	3.80E+04	2.92E+04	2.83E+04
c2319201-2318944	2.08E+04	1.77E+04	2.57E+04
c2319201-2318944	2.05E+04	1.73E+04	2.94E+04
c2319201-2318944	1.99E+04	1.80E+04	2.85E+04
c2319201-2318944	1.91E+04	1.67E+04	2.57E+04
c2319201-2318944	2.10E+04	1.81E+04	2.74E+04
c2320331-2320236	8.60E+01	8.45E+01	7.25E+01
c2320331-2320236	1.34E+02	5.66E+01	7.60E+01
c2320331-2320236	8.08E+01	6.13E+01	8.19E+01
c2320331-2320236	9.84E+01	8.26E+01	1.19E+02
c2320331-2320236	9.49E+01	7.01E+01	7.36E+01
c2322505-2321693	3.99E+03	3.96E+03	2.74E+03
c2322505-2321693	3.54E+03	3.86E+03	2.51E+03
c2322505-2321693	3.80E+03	4.04E+03	2.61E+03
c2322505-2321693	3.80E+03	4.04E+03	2.62E+03
c2322505-2321693	4.80E+03	4.49E+03	2.79E+03
c2323160-2322531	1.05E+03	1.18E+03	9.02E+02
c2323160-2322531	1.13E+03	1.11E+03	9.17E+02
c2323160-2322531	1.02E+03	9.66E+02	9.03E+02
c2323160-2322531	1.14E+03	1.22E+03	9.52E+02
c2323160-2322531	1.04E+03	9.28E+02	8.07E+02
c2325159-2323504	7.22E+02	1.24E+03	4.95E+02
c2325159-2323504	1.07E+03	1.50E+03	6.12E+02
c2325159-2323504	9.88E+02	1.56E+03	5.64E+02
c2325159-2323504	1.01E+03	1.51E+03	5.87E+02
c2325159-2323504	1.06E+03	1.48E+03	5.12E+02
c2327089-2326832	3.39E+02	5.83E+02	1.66E+02
c2327089-2326832	3.26E+02	8.22E+02	1.62E+02
c2327089-2326832	3.60E+02	7.20E+02	1.69E+02
c2327089-2326832	4.71E+02	8.63E+02	1.49E+02
c2329706-2328810	5.53E+02	5.81E+02	4.64E+02
c2329706-2328810	5.57E+02	5.68E+02	4.44E+02
c2329706-2328810	5.08E+02	4.27E+02	4.10E+02
c2329706-2328810	4.94E+02	3.98E+02	4.29E+02
c2334000-2331406	9.30E+03	1.62E+04	1.70E+04
c2334000-2331406	1.10E+04	1.56E+04	1.70E+04
c2334000-2331406	1.03E+04	1.36E+04	1.64E+04
c2334000-2331406	1.11E+04	1.46E+04	1.67E+04
c2334633-2334037	2.40E+03	2.97E+03	2.82E+03
c2334633-2334037	2.71E+03	2.93E+03	3.10E+03
c2334633-2334037	2.77E+03	2.91E+03	3.22E+03
c2334633-2334037	3.09E+03	3.24E+03	3.53E+03
c2335054-2334650	3.58E+03	3.81E+03	4.55E+03
c2335054-2334650	4.59E+03	4.86E+03	5.38E+03
c2335054-2334650	3.80E+03	4.67E+03	4.87E+03
c2335054-2334650	4.39E+03	4.69E+03	5.06E+03
c2341303-2340686	1.09E+03	1.28E+03	7.47E+02
c2341303-2340686	1.14E+03	1.30E+03	7.14E+02
c2341303-2340686	1.17E+03	1.15E+03	6.70E+02
c2341303-2340686	1.09E+03	1.30E+03	7.49E+02
c2342452-2341430	4.97E+01	3.90E+02	1.54E+01
c2342452-2341430	4.20E+01	3.82E+02	1.87E+01
c2342452-2341430	4.43E+01	4.09E+02	2.16E+01
c2342452-2341430	3.95E+01	3.78E+02	9.14E+01
c2343748-2342561	1.13E+02	8.07E+02	4.57E+01
c2343748-2342561	1.32E+02	7.03E+02	3.93E+01
c2343748-2342561	9.04E+01	7.88E+02	3.38E+01
c2343748-2342561	1.39E+02	9.54E+02	9.85E+01
c2344638-2343778	1.74E+03	2.25E+03	1.14E+03
c2344638-2343778	3.05E+03	2.56E+03	1.39E+03
c2344638-2343778	1.99E+03	2.92E+03	1.56E+03
c2344638-2343778	1.97E+03	2.87E+03	1.28E+03
c2345870-2344653	1.80E+02	9.27E+02	1.27E+02
c2345870-2344653	2.79E+02	9.16E+02	1.37E+02
c2345870-2344653	2.34E+02	9.33E+02	1.02E+02
c2345870-2344653	2.57E+02	1.06E+03	2.87E+02
c2346945-2345911	7.46E+02	1.09E+03	3.72E+02
c2346945-2345911	7.66E+02	1.26E+03	4.00E+02
c2346945-2345911	6.48E+02	1.02E+03	3.82E+02
c2346945-2345911	7.13E+02	1.10E+03	3.60E+02
c2348806-2347715	1.47E+02	1.23E+02	3.43E+01
c2348806-2347715	7.46E+01	1.50E+02	5.18E+01
c2348806-2347715	8.28E+01	1.40E+02	5.23E+01
c2348806-2347715	7.41E+01	1.61E+02	4.85E+01
c2350212-2348821	9.89E+02	1.94E+03	4.00E+02
c2350212-2348821	9.04E+02	1.80E+03	4.22E+02
c2350212-2348821	1.11E+03	1.90E+03	4.64E+02
c2350212-2348821	1.41E+03	2.23E+03	6.58E+02
c2350770-2350231	2.27E+02	7.27E+02	7.94E+01
c2350770-2350231	1.83E+02	7.09E+02	9.95E+01
c2350770-2350231	1.82E+02	7.36E+02	1.19E+02
c2350770-2350231	1.98E+02	6.89E+02	1.18E+02
c2352116-2350791	8.08E+01	6.15E+02	2.67E+01
c2352116-2350791	1.39E+02	5.94E+02	1.57E+01
c2352116-2350791	9.68E+01	5.61E+02	3.85E+01
c2352116-2350791	9.06E+01	3.81E+02	3.82E+02
c2352736-2352113	1.30E+03	2.27E+03	7.02E+02
c2352736-2352113	8.75E+02	2.07E+03	7.54E+02
c2352736-2352113	1.36E+03	2.69E+03	8.49E+02
c2352736-2352113	1.16E+03	2.48E+03	7.68E+02
c2355340-2354783	3.95E+02	5.67E+02	1.86E+02
c2355340-2354783	4.03E+02	5.90E+02	2.50E+02
c2355340-2354783	4.36E+02	7.67E+02	2.78E+02
c2355340-2354783	4.60E+02	7.18E+02	2.78E+02
c235566-234379	5.11E+04	4.61E+04	4.55E+04
c235566-234379	4.97E+04	4.77E+04	4.62E+04
c235566-234379	5.21E+04	4.86E+04	4.58E+04
c235566-234379	5.19E+04	4.88E+04	4.60E+04
c2359076-2358783	4.09E+03	2.65E+03	3.44E+03
c2359076-2358783	4.95E+03	3.20E+03	4.04E+03
c2359076-2358783	3.87E+03	2.69E+03	3.76E+03
c2359076-2358783	3.72E+03	2.55E+03	3.38E+03
c2360194-2359514	3.89E+02	5.72E+02	2.37E+02
c2360194-2359514	5.56E+02	8.58E+02	2.44E+02
c2360194-2359514	6.10E+02	7.54E+02	2.93E+02
c2360194-2359514	4.44E+02	6.34E+02	2.83E+02
c2362337-2361465	7.47E+03	6.38E+03	6.07E+03
c2362337-2361465	6.92E+03	6.66E+03	6.08E+03
c2362337-2361465	6.42E+03	4.87E+03	5.29E+03
c2362337-2361465	5.91E+03	5.31E+03	5.28E+03
c2363309-2362731	1.78E+03	2.77E+03	1.04E+03
c2363309-2362731	2.02E+03	2.60E+03	1.15E+03
c2363309-2362731	2.28E+03	2.90E+03	1.27E+03
c2363309-2362731	2.09E+03	2.58E+03	1.22E+03
c2364083-2363367	1.17E+03	1.52E+03	7.30E+02
c2364083-2363367	1.13E+03	1.20E+03	8.08E+02
c2364083-2363367	1.10E+03	1.34E+03	7.06E+02
c2364083-2363367	1.12E+03	1.21E+03	7.30E+02
c2366191-2365514	2.49E+03	1.68E+03	1.58E+03
c2366191-2365514	1.60E+03	1.39E+03	1.40E+03
c2366191-2365514	2.24E+03	1.51E+03	1.47E+03
c2366191-2365514	2.00E+03	1.59E+03	1.46E+03
c2367682-2366390	3.35E+03	4.06E+03	2.64E+03
c2367682-2366390	3.29E+03	4.31E+03	3.20E+03
c2367682-2366390	4.24E+03	4.43E+03	3.33E+03
c2367682-2366390	4.16E+03	4.90E+03	3.48E+03
c2368893-2367700	2.56E+03	2.17E+03	1.56E+03
c2368893-2367700	3.60E+03	3.24E+03	2.47E+03
c2368893-2367700	3.39E+03	3.47E+03	2.45E+03
c2368893-2367700	3.71E+03	3.23E+03	2.45E+03
c2369901-2369254	2.16E+02	6.62E+02	7.60E+01
c2369901-2369254	2.07E+02	6.23E+02	7.65E+01
c2369901-2369254	2.00E+02	6.90E+02	7.90E+01
c2369901-2369254	1.98E+02	6.84E+02	6.48E+01
c2371741-2370041	4.29E+03	3.54E+03	2.16E+03
c2371741-2370041	4.18E+03	3.39E+03	1.83E+03
c2371741-2370041	3.98E+03	3.31E+03	1.93E+03
c2371741-2370041	4.49E+03	3.31E+03	2.01E+03
c2372704-2372138	7.06E+02	6.21E+02	4.09E+02
c2372704-2372138	8.26E+02	5.74E+02	3.63E+02
c2372704-2372138	7.15E+02	6.52E+02	4.21E+02
c2372704-2372138	7.21E+02	6.44E+02	3.74E+02
c2373573-2372860	1.91E+03	2.02E+03	8.09E+02
c2373573-2372860	2.17E+03	2.05E+03	8.25E+02
c2373573-2372860	1.92E+03	1.95E+03	8.70E+02
c2373573-2372860	1.87E+03	1.97E+03	8.70E+02
c2376535-2375636	1.47E+04	1.40E+04	1.48E+04
c2376535-2375636	1.41E+04	1.28E+04	1.29E+04
c2376535-2375636	1.51E+04	1.36E+04	1.30E+04
c2376535-2375636	1.41E+04	1.31E+04	1.27E+04
c2377200-2376562	1.21E+04	1.19E+04	1.14E+04
c2377200-2376562	1.24E+04	1.31E+04	1.13E+04
c2377200-2376562	1.32E+04	1.33E+04	1.19E+04
c2377200-2376562	1.26E+04	1.26E+04	1.10E+04
c2378535-2377537	3.53E+03	3.06E+03	3.52E+03
c2378535-2377537	3.41E+03	3.10E+03	3.54E+03
c2378535-2377537	3.54E+03	3.03E+03	3.72E+03
c2378535-2377537	3.75E+03	3.08E+03	3.60E+03
c2379208-2378633	1.84E+03	2.20E+03	1.52E+03
c2379208-2378633	1.86E+03	1.84E+03	1.43E+03
c2379208-2378633	1.89E+03	1.81E+03	1.61E+03
c2379208-2378633	2.05E+03	2.07E+03	1.52E+03
c2380601-2380224	2.45E+03	3.01E+03	1.61E+03
c2380601-2380224	2.63E+03	3.15E+03	1.62E+03
c2380601-2380224	2.54E+03	3.12E+03	1.72E+03
c2380601-2380224	2.49E+03	2.97E+03	1.66E+03
c2382738-2382262	7.42E+03	6.91E+03	4.71E+03
c2382738-2382262	6.06E+03	6.35E+03	4.48E+03
c2382738-2382262	5.84E+03	5.77E+03	3.93E+03
c2382738-2382262	6.74E+03	6.15E+03	4.37E+03
c2384562-2382937	8.69E+03	7.47E+03	6.36E+03
c2384562-2382937	7.43E+03	7.79E+03	5.90E+03
c2384562-2382937	7.78E+03	7.52E+03	5.99E+03
c2384562-2382937	8.54E+03	7.77E+03	6.06E+03
c2385919-2384900	2.86E+03	2.96E+03	2.44E+03
c2385919-2384900	2.87E+03	3.45E+03	2.13E+03
c2385919-2384900	3.11E+03	3.68E+03	2.61E+03
c2385919-2384900	3.38E+03	3.62E+03	2.72E+03
c2386494-2385916	4.06E+03	4.45E+03	3.23E+03
c2386494-2385916	4.02E+03	4.71E+03	2.95E+03
c2386494-2385916	3.68E+03	4.27E+03	2.69E+03
c2386494-2385916	3.98E+03	4.64E+03	2.71E+03
c2387314-2386592	2.50E+03	2.98E+03	1.28E+03
c2387314-2386592	2.65E+03	3.26E+03	1.37E+03
c2387314-2386592	4.98E+03	3.48E+03	1.46E+03
c2387314-2386592	2.56E+03	3.57E+03	1.61E+03
c2388774-2387497	2.23E+03	1.87E+03	1.67E+03
c2388774-2387497	2.84E+03	2.25E+03	2.10E+03
c2388774-2387497	3.20E+03	2.52E+03	2.18E+03
c2388774-2387497	3.28E+03	2.45E+03	2.12E+03
c2391219-2388913	1.05E+03	1.08E+03	1.00E+03
c2391219-2388913	1.28E+03	1.38E+03	1.23E+03
c2391219-2388913	1.32E+03	1.56E+03	1.36E+03
c2391219-2388913	1.29E+03	1.46E+03	1.17E+03
c2392006-2391212	3.26E+02	3.52E+02	1.92E+02
c2392006-2391212	3.08E+02	3.42E+02	2.53E+02
c2392006-2391212	2.81E+02	3.60E+02	2.22E+02
c2392006-2391212	3.39E+02	3.56E+02	2.30E+02
c2393471-2392113	2.53E+02	2.61E+02	1.78E+02
c2393471-2392113	3.29E+02	2.38E+02	2.29E+02
c2393471-2392113	2.97E+02	2.94E+02	2.07E+02
c2393471-2392113	2.53E+02	2.18E+02	2.20E+02
c2395908-2394817	8.35E+03	7.53E+03	7.30E+03
c2395908-2394817	8.07E+03	9.76E+03	7.65E+03
c2395908-2394817	8.24E+03	8.43E+03	7.03E+03
c2395908-2394817	8.47E+03	8.08E+03	7.26E+03
c2397223-2396138	6.18E+02	9.65E+02	4.21E+02
c2397223-2396138	8.15E+02	1.16E+03	4.59E+02
c2397223-2396138	7.32E+02	1.11E+03	4.56E+02
c2397223-2396138	6.62E+02	9.96E+02	3.70E+02
c2398572-2397259	9.97E+02	1.87E+03	4.45E+02
c2398572-2397259	1.22E+03	2.05E+03	5.58E+02
c2398572-2397259	8.90E+02	1.99E+03	5.21E+02
c2398572-2397259	1.09E+03	2.03E+03	5.56E+02
c2400864-2398573	1.89E+02	5.53E+02	1.52E+02
c2400864-2398573	1.77E+02	5.50E+02	1.67E+02
c2400864-2398573	1.95E+02	5.22E+02	1.52E+02
c2400864-2398573	1.75E+02	5.27E+02	9.60E+01
c2401648-2400854	2.64E+02	6.32E+02	1.62E+02
c2401648-2400854	2.61E+02	6.45E+02	1.55E+02
c2401648-2400854	2.47E+02	6.72E+02	1.54E+02
c2401648-2400854	2.34E+02	6.56E+02	1.62E+02
c2402154-2401687	7.74E+02	1.31E+03	5.69E+02
c2402154-2401687	9.77E+02	1.86E+03	5.62E+02
c2402154-2401687	1.11E+03	2.14E+03	6.21E+02
c2402154-2401687	9.45E+02	1.73E+03	5.38E+02
c2403629-2402205	4.89E+02	1.08E+03	2.87E+02
c2403629-2402205	4.91E+02	1.14E+03	3.13E+02
c2403629-2402205	7.12E+02	1.11E+03	2.62E+02
c2403629-2402205	5.20E+02	1.13E+03	2.83E+02
c2404999-2403629	1.18E+03	2.23E+03	4.57E+02
c2404999-2403629	1.10E+03	2.01E+03	5.64E+02
c2404999-2403629	1.20E+03	1.82E+03	5.54E+02
c2404999-2403629	8.71E+02	1.73E+03	5.30E+02
c2406319-2405132	2.67E+02	5.54E+02	6.20E+01
c2406319-2405132	1.31E+02	5.54E+02	6.79E+01
c2406319-2405132	2.04E+02	6.24E+02	9.08E+01
c2406319-2405132	1.86E+02	6.26E+02	6.44E+01
c2407660-2406446	2.85E+02	4.58E+02	1.78E+02
c2407660-2406446	2.78E+02	4.14E+02	1.32E+02
c2407660-2406446	2.64E+02	4.19E+02	1.59E+02
c2407660-2406446	2.31E+02	4.41E+02	1.65E+02
c2408694-2408023	1.49E+03	2.35E+03	7.79E+02
c2408694-2408023	1.62E+03	2.59E+03	8.70E+02
c2408694-2408023	1.73E+03	2.87E+03	9.69E+02
c2408694-2408023	2.09E+03	2.97E+03	9.43E+02
c2410993-2408777	2.22E+03	2.58E+03	1.17E+03
c2410993-2408777	2.37E+03	3.08E+03	1.25E+03
c2410993-2408777	2.25E+03	2.73E+03	1.15E+03
c2410993-2408777	2.21E+03	2.99E+03	1.33E+03
c2411466-2410996	1.16E+03	2.23E+03	7.05E+02
c2411466-2410996	1.34E+03	2.24E+03	9.73E+02
c2411466-2410996	1.37E+03	2.20E+03	8.71E+02
c2411466-2410996	1.26E+03	2.13E+03	9.70E+02
c2412949-2411528	1.86E+02	5.94E+02	1.61E+02
c2412949-2411528	2.69E+02	7.19E+02	1.55E+02
c2412949-2411528	2.52E+02	7.20E+02	1.54E+02
c2412949-2411528	2.87E+02	8.20E+02	1.66E+02
c2414356-2412995	3.62E+02	7.74E+02	1.93E+02
c2414356-2412995	3.54E+02	7.27E+02	2.05E+02
c2414356-2412995	2.67E+02	6.29E+02	1.99E+02
c2414356-2412995	3.13E+02	6.57E+02	2.00E+02
c2416017-2414653	1.17E+02	5.72E+02	6.34E+01
c2416017-2414653	1.23E+02	5.11E+02	5.39E+01
c2416017-2414653	1.17E+02	6.12E+02	6.42E+01
c2416017-2414653	1.09E+02	5.36E+02	6.59E+01
c2417371-2416331	7.36E+03	7.66E+03	5.78E+03
c2417371-2416331	7.64E+03	8.61E+03	5.64E+03
c2417371-2416331	8.07E+03	1.02E+04	5.80E+03
c2417371-2416331	8.26E+03	8.37E+03	5.00E+03
c2418966-2417698	2.03E+03	2.40E+03	1.04E+03
c2418966-2417698	2.11E+03	2.51E+03	1.09E+03
c2418966-2417698	2.12E+03	2.64E+03	1.14E+03
c2418966-2417698	2.06E+03	2.57E+03	1.09E+03
c2420899-2418959	2.62E+03	3.08E+03	1.73E+03
c2420899-2418959	2.54E+03	3.59E+03	1.82E+03
c2420899-2418959	2.33E+03	3.13E+03	1.76E+03
c2420899-2418959	2.97E+03	3.72E+03	2.02E+03
c2421644-2420922	3.58E+03	4.27E+03	2.23E+03
c2421644-2420922	3.46E+03	4.66E+03	1.79E+03
c2421644-2420922	3.50E+03	3.90E+03	1.86E+03
c2421644-2420922	3.29E+03	3.85E+03	1.92E+03
c2422680-2421694	2.96E+03	4.24E+03	2.33E+03
c2422680-2421694	2.95E+03	4.46E+03	2.41E+03
c2422680-2421694	2.72E+03	4.22E+03	2.13E+03
c2422680-2421694	2.77E+03	4.14E+03	2.10E+03
c2423237-2422737	6.56E+02	5.78E+02	3.88E+02
c2423237-2422737	6.59E+02	7.38E+02	5.12E+02
c2423237-2422737	6.44E+02	6.35E+02	4.61E+02
c2423237-2422737	7.20E+02	6.18E+02	4.93E+02
c2423834-2423523	7.47E+03	7.64E+03	1.06E+04
c2423834-2423523	9.19E+03	9.47E+03	1.14E+04
c2423834-2423523	7.25E+03	7.23E+03	9.81E+03
c2423834-2423523	7.43E+03	7.98E+03	1.00E+04
c2426238-2423974	1.07E+03	1.08E+03	8.41E+02
c2426238-2423974	1.22E+03	1.04E+03	1.09E+03
c2426238-2423974	1.15E+03	9.97E+02	9.22E+02
c2426238-2423974	1.32E+03	1.32E+03	1.11E+03
c2426691-2426242	1.95E+03	1.98E+03	1.47E+03
c2426691-2426242	2.10E+03	1.99E+03	1.51E+03
c2426691-2426242	2.09E+03	2.22E+03	1.43E+03
c2426691-2426242	2.28E+03	2.21E+03	1.37E+03
c2427479-2426691	2.97E+03	3.45E+03	2.22E+03
c2427479-2426691	3.29E+03	3.60E+03	2.14E+03
c2427479-2426691	3.18E+03	3.62E+03	2.10E+03
c2427479-2426691	3.31E+03	3.61E+03	2.26E+03
c2428978-2427674	2.64E+03	2.09E+03	3.04E+03
c2428978-2427674	2.40E+03	2.14E+03	2.87E+03
c2428978-2427674	2.38E+03	2.30E+03	2.96E+03
c2428978-2427674	2.89E+03	2.64E+03	3.30E+03
c2430675-2429593	2.07E+03	2.12E+03	1.61E+03
c2430675-2429593	2.08E+03	2.25E+03	1.70E+03
c2430675-2429593	1.97E+03	2.18E+03	1.79E+03
c2430675-2429593	2.34E+03	2.21E+03	1.78E+03
c2432373-2430778	1.51E+03	2.19E+03	8.71E+02
c2432373-2430778	1.63E+03	2.42E+03	1.24E+03
c2432373-2430778	1.79E+03	2.63E+03	1.19E+03
c2432373-2430778	1.70E+03	2.85E+03	1.32E+03
c2433127-2432420	2.10E+02	3.41E+02	1.60E+02
c2433127-2432420	2.09E+02	2.74E+02	1.42E+02
c2433127-2432420	2.70E+02	3.39E+02	1.70E+02
c2433127-2432420	2.43E+02	2.77E+02	1.53E+02
c2436015-2434639	2.14E+03	1.70E+03	1.89E+03
c2436015-2434639	2.10E+03	1.52E+03	1.76E+03
c2436015-2434639	2.18E+03	1.59E+03	1.63E+03
c2436015-2434639	2.09E+03	1.53E+03	1.67E+03
c2440075-2439401	2.32E+03	2.09E+03	3.19E+03
c2440075-2439401	2.12E+03	1.70E+03	2.81E+03
c2440075-2439401	2.38E+03	1.79E+03	3.05E+03
c2440075-2439401	2.54E+03	1.97E+03	2.64E+03
c2441701-2441402	2.89E+02	5.40E+02	2.57E+02
c2441701-2441402	3.83E+02	6.82E+02	2.58E+02
c2441701-2441402	3.16E+02	6.60E+02	2.31E+02
c2441701-2441402	3.05E+02	6.93E+02	2.48E+02
c2443301-2442024	6.89E+03	6.00E+03	5.15E+03
c2443301-2442024	6.78E+03	6.15E+03	5.13E+03
c2443301-2442024	7.36E+03	7.03E+03	5.55E+03
c2443301-2442024	7.50E+03	6.19E+03	5.07E+03
c2443953-2443285	6.66E+03	5.01E+03	3.19E+03
c2443953-2443285	6.52E+03	4.77E+03	3.01E+03
c2443953-2443285	6.57E+03	4.74E+03	3.50E+03
c2443953-2443285	6.00E+03	4.02E+03	2.70E+03
c2446614-2444113	3.07E+03	4.41E+03	1.85E+03
c2446614-2444113	3.28E+03	3.94E+03	2.21E+03
c2446614-2444113	3.04E+03	4.22E+03	2.54E+03
c2446614-2444113	3.20E+03	4.25E+03	2.51E+03
c2450512-2449604	7.25E+03	6.12E+03	5.39E+03
c2450512-2449604	7.95E+03	6.83E+03	5.26E+03
c2450512-2449604	8.35E+03	7.13E+03	6.35E+03
c2450512-2449604	8.79E+03	6.89E+03	6.20E+03
c2455889-2455377	5.75E+02	1.25E+03	1.94E+02
c2455889-2455377	7.06E+02	1.33E+03	2.45E+02
c2455889-2455377	7.72E+02	1.40E+03	2.67E+02
c2455889-2455377	7.85E+02	1.41E+03	2.95E+02
c2459307-2457436	3.92E+03	4.69E+03	2.59E+03
c2459307-2457436	3.84E+03	5.41E+03	2.68E+03
c2459307-2457436	4.08E+03	5.03E+03	2.62E+03
c2459307-2457436	3.83E+03	5.15E+03	2.57E+03
c2461358-2460813	6.85E+02	8.43E+02	4.05E+02
c2461358-2460813	6.57E+02	8.41E+02	4.33E+02
c2461358-2460813	7.14E+02	1.00E+03	4.35E+02
c2461358-2460813	7.72E+02	8.47E+02	4.22E+02
c2464233-2463409	3.32E+04	3.36E+04	3.27E+04
c2464233-2463409	3.82E+04	3.68E+04	3.04E+04
c2464233-2463409	3.47E+04	3.30E+04	2.99E+04
c2464233-2463409	3.64E+04	3.18E+04	2.88E+04
c2465636-2464581	7.05E+03	9.15E+03	4.59E+03
c2465636-2464581	7.12E+03	1.03E+04	6.10E+03
c2465636-2464581	7.35E+03	1.20E+04	6.05E+03
c2465636-2464581	8.56E+03	1.21E+04	5.96E+03
c2466823-2465819	4.35E+03	5.31E+03	4.36E+03
c2466823-2465819	4.57E+03	4.54E+03	3.40E+03
c2466823-2465819	4.90E+03	5.16E+03	4.69E+03
c2466823-2465819	4.27E+03	4.51E+03	3.73E+03
c2467990-2466836	2.41E+03	2.69E+03	2.40E+03
c2467990-2466836	2.89E+03	3.07E+03	2.83E+03
c2467990-2466836	2.47E+03	2.86E+03	2.44E+03
c2467990-2466836	2.85E+03	2.94E+03	2.33E+03
c2468357-2468154	8.83E+02	1.16E+03	5.50E+02
c2468357-2468154	7.97E+02	1.07E+03	5.45E+02
c2468357-2468154	7.84E+02	1.16E+03	5.05E+02
c2468357-2468154	8.37E+02	1.11E+03	5.86E+02
c2471209-2469362	4.01E+02	5.76E+02	3.25E+02
c2471209-2469362	5.65E+02	6.53E+02	3.83E+02
c2471209-2469362	4.94E+02	7.95E+02	3.90E+02
c2471209-2469362	5.29E+02	7.51E+02	3.83E+02
c2472776-2471997	1.00E+04	9.91E+03	8.43E+03
c2472776-2471997	9.68E+03	1.03E+04	8.23E+03
c2472776-2471997	9.52E+03	9.49E+03	7.99E+03
c2472776-2471997	9.48E+03	1.05E+04	8.16E+03
c2473523-2472789	1.26E+04	1.13E+04	8.82E+03
c2473523-2472789	1.32E+04	1.17E+04	9.59E+03
c2473523-2472789	1.31E+04	1.13E+04	8.39E+03
c2473523-2472789	1.47E+04	1.29E+04	9.19E+03
c2473755-2473552	9.84E+03	8.55E+03	8.53E+03
c2473755-2473552	1.13E+04	9.99E+03	9.36E+03
c2473755-2473552	1.10E+04	9.38E+03	8.62E+03
c2473755-2473552	1.08E+04	9.01E+03	7.88E+03
c2474315-2473758	1.31E+04	1.31E+04	1.25E+04
c2474315-2473758	1.49E+04	1.28E+04	1.24E+04
c2474315-2473758	1.51E+04	1.64E+04	1.33E+04
c2474315-2473758	1.53E+04	1.45E+04	1.27E+04
c2475045-2474341	1.76E+04	1.74E+04	1.12E+04
c2475045-2474341	1.91E+04	1.78E+04	1.22E+04
c2475045-2474341	1.63E+04	1.73E+04	1.03E+04
c2475045-2474341	2.08E+04	1.87E+04	1.01E+04
c2476041-2475130	3.46E+04	3.22E+04	2.72E+04
c2476041-2475130	3.74E+04	3.35E+04	2.95E+04
c2476041-2475130	3.41E+04	3.14E+04	2.66E+04
c2476041-2475130	3.43E+04	3.33E+04	2.63E+04
c24766-23561	6.58E+03	6.69E+03	4.61E+03
c24766-23561	6.79E+03	6.68E+03	5.15E+03
c24766-23561	6.40E+03	6.44E+03	5.38E+03
c24766-23561	5.64E+03	7.26E+03	5.63E+03
c2476833-2476120	3.35E+04	2.67E+04	1.81E+04
c2476833-2476120	3.53E+04	2.61E+04	2.06E+04
c2476833-2476120	3.24E+04	2.48E+04	2.19E+04
c2476833-2476120	3.47E+04	2.76E+04	1.92E+04
c2478233-2477040	3.38E+02	6.84E+02	9.03E+01
c2478233-2477040	3.79E+02	7.22E+02	1.08E+02
c2478233-2477040	3.21E+02	5.93E+02	1.16E+02
c2478233-2477040	3.44E+02	5.68E+02	1.08E+02
c247854-246964	2.79E+02	4.10E+02	2.35E+02
c247854-246964	2.22E+02	3.86E+02	2.04E+02
c247854-246964	2.60E+02	4.17E+02	2.49E+02
c247854-246964	2.69E+02	4.13E+02	2.27E+02
c2479413-2478328	1.49E+03	1.77E+03	6.84E+02
c2479413-2478328	1.52E+03	1.78E+03	8.12E+02
c2479413-2478328	1.52E+03	2.09E+03	7.39E+02
c2479413-2478328	1.18E+03	1.74E+03	8.16E+02
c2480253-2479600	4.21E+01	1.87E+02	1.37E+01
c2480253-2479600	7.45E+01	1.49E+02	1.49E+01
c2480253-2479600	6.30E+01	1.50E+02	2.23E+01
c2480253-2479600	4.90E+01	1.58E+02	2.09E+01
c2483028-2481118	1.02E+03	1.02E+03	5.88E+02
c2483028-2481118	1.00E+03	1.05E+03	7.04E+02
c2483028-2481118	1.08E+03	1.07E+03	6.46E+02
c2483028-2481118	1.07E+03	1.02E+03	6.60E+02
c2484629-2483562	2.88E+03	3.47E+03	2.63E+03
